readcode,medcode,readterm,clinicalevents,immunisationevents,referralevents,testevents,databaserelease,clinevents,immevents,refevents,dbasebuild,_merge
7K1LM00,5951,closed reduction of fracture of wrist,28849,0,514,0,February 2009,20441,0,465,February 2009,matched (3)
S23..11,10640,forearm fracture,7456,0,109,0,February 2009,,,,,master only (1)
S230000,33933,"closed fracture of proximal forearm, unspecified part",173,0,0,0,February 2009,,,,,master only (1)
S230z00,42957,closed fracture of proximal forearm not otherwise specified,124,0,1,0,February 2009,,,,,master only (1)
S231000,50223,"open fracture of proximal forearm, unspecified",14,0,0,0,February 2009,,,,,master only (1)
S231z00,55201,"open fracture of forearm, upper end, nos",10,0,1,0,February 2009,,,,,master only (1)
S234.11,203,wrist fracture - closed,89808,0,10004,29,February 2009,72511,0,9587,February 2009,matched (3)
S234000,18389,"closed fracture of forearm, lower end, unspecified",976,0,23,0,February 2009,520,0,21,February 2009,matched (3)
S234100,343,closed colles' fracture,125915,0,7348,17,February 2009,102489,0,7076,February 2009,matched (3)
S234111,52389,smith's fracture - closed,116,0,0,0,February 2009,90,0,0,February 2009,matched (3)
S234200,1742,"closed fracture of the distal radius, unspecified",62891,0,698,1,February 2009,40408,0,657,February 2009,matched (3)
S234300,9165,"closed fracture of ulna, styloid process",5769,0,41,4,February 2009,3939,0,37,February 2009,matched (3)
S234400,42076,"closed fracture of ulna, lower epiphysis",106,0,0,0,February 2009,61,0,0,February 2009,matched (3)
S234500,40476,"closed fracture distal ulna, unspecified",1557,0,5,0,February 2009,962,0,3,February 2009,matched (3)
S234700,2862,closed smith's fracture,3665,0,132,0,February 2009,3000,0,129,February 2009,matched (3)
S234900,11066,closed volar barton's fracture,488,0,3,0,February 2009,363,0,3,February 2009,matched (3)
S234911,53689,closed volar barton's fracture-dislocation,13,0,1,0,February 2009,8,0,1,February 2009,matched (3)
S234912,65636,closed volar barton fracture-subluxation,8,0,0,0,February 2009,7,0,0,February 2009,matched (3)
S234A00,50053,closd dorsal barton's fracture,55,0,1,0,February 2009,36,0,1,February 2009,matched (3)
S234A11,57736,closed dorsal barton's fracture-dislocation,5,0,0,0,February 2009,4,0,0,February 2009,matched (3)
S234A12,107741,closed dorsal barton fracture-subluxation,1,0,0,0,February 2014,1,0,0,February 2014,matched (3)
S234B00,6915,closed fracture radial styloid,8477,0,38,0,February 2009,6008,0,33,February 2009,matched (3)
S234C00,44844,"closed fracture distal radius, intra-articular, die-punch",46,0,0,0,February 2009,36,0,0,February 2009,matched (3)
S234D00,19058,"closed fracture distal radius, extra-articular, other type",416,0,1,0,February 2009,260,0,1,February 2009,matched (3)
S234E00,28293,"closed fracture distal radius, intra-articular, other type",675,0,4,0,February 2009,412,0,3,February 2009,matched (3)
S234F00,10033,closed barton's fracture,425,0,3,0,February 2009,313,0,3,February 2009,matched (3)
S234G00,102302,greenstick fracture of distal radius,10606,0,7,0,June 2011,6647,0,5,June 2011,matched (3)
S234z00,27591,"closed fracture of forearm, lower end, nos",2406,0,17,1,February 2009,1672,0,16,February 2009,matched (3)
S235.11,10022,wrist fracture - open,2513,0,61,0,February 2009,1823,0,55,February 2009,matched (3)
S235000,60630,"open fracture of forearm, lower end, unspecified",25,0,1,0,February 2009,22,0,1,February 2009,matched (3)
S235100,6074,open colles' fracture,1511,0,27,0,February 2009,1169,0,22,February 2009,matched (3)
S235111,98681,smith's fracture - open,8,0,0,0,March 2010,4,0,0,March 2010,matched (3)
S235200,44924,"open fracture of the distal radius, unspecified",666,0,4,0,February 2009,358,0,4,February 2009,matched (3)
S235300,11262,"open fracture of ulna, styloid process",90,0,0,0,February 2009,66,0,0,February 2009,matched (3)
S235400,96691,"open fracture of ulna, lower epiphysis",3,0,0,0,April 2009,2,0,0,April 2009,matched (3)
S235500,49796,open fracture distal ulna - other,51,0,0,0,February 2009,22,0,0,February 2009,matched (3)
S235700,34730,open smith's fracture,125,0,7,0,February 2009,98,0,7,February 2009,matched (3)
S235900,61675,open volar barton's fracture,55,0,0,0,February 2009,36,0,0,February 2009,matched (3)
S235A00,111858,open dorsal barton's fracture,2,0,0,0,May 2017,1,0,0,May 2017,matched (3)
S235B00,6380,open fracture radial styloid,274,0,2,0,February 2009,204,0,2,February 2009,matched (3)
S235C00,104070,"open fracture distal radius, intra-articular, die-punch",3,0,0,0,May 2012,3,0,0,May 2012,matched (3)
S235D00,53698,"open fracture distal radius, extra-articular other type",12,0,0,0,February 2009,9,0,0,February 2009,matched (3)
S235E00,63588,"open fracture distal radius, intra-articular other type",34,0,0,0,February 2009,20,0,0,February 2009,matched (3)
S235F00,18301,open barton's fracture,29,0,1,0,February 2009,22,0,1,February 2009,matched (3)
S235z00,66774,"open fracture of forearm, lower end, nos",32,0,0,0,February 2009,17,0,0,February 2009,matched (3)
S23B.00,199,fracture of lower end of radius,80871,0,1112,2,February 2009,,,,,master only (1)
S23C.00,6213,fracture of lower end of both ulna and radius,2697,0,7,0,February 2009,,,,,master only (1)
S23x000,50654,"closed fracture of forearm, unspecified",667,0,1,0,February 2009,,,,,master only (1)
S23y000,70590,"open fracture of forearm, unspecified",45,0,0,0,February 2009,,,,,master only (1)
S24..00,22375,fracture of carpal bone,2954,0,183,0,February 2009,,,,,master only (1)
