prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
798,344111000001101,4295586,83215020,Adcal-D3 chewable tablets tutti frutti (Kyowa Kirin Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,Februar 2009
1240,95875001000027109,7611,60343020,Calcium gluconate with ergocalciferol tablets,Ergocalciferol/Calcium Gluconate,,Tablets,Oral,09050101,Calcium Supplements,Februar 2009
1413,120885001000027106,7333,03979007,VITAMIN D PLUS CALCIUM TAB,,,,,00000000,Unknown,Februar 2009
2112,41925001000027105,1597238,53262020,Calcichew-d3 Chewable tablet (Shire Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
2194,565411000001102,2975,56711020,Calcium and Ergocalciferol tablets (Approved Prescription Services Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09060400,Vitamin D,Februar 2009
2669,442811000001108,1103935,53261020,Calcichew D3 chewable tablets (Takeda UK Ltd),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,Februar 2009
2691,37082311000001104,385111,59296020,Calcium and Ergocalciferol tablets,Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09060400,Vitamin D,Februar 2009
3484,91615001000027108,12965,02935007,CALCIUM 500MGS & VITAMIN D 200IU I/U TAB,,,,,00000000,Unknown,Februar 2009
3717,3251311000001104,149061,83671020,Cacit D3 effervescent granules sachets (Theramex HQ UK Ltd),Calcium carbonate/Colecalciferol,1.25gram + 440unit,Effervescent granules,Oral,09060400,Vitamin D,Februar 2009
3760,191075001000027101,2623,06872007,CALCIUM 500MGS & VITAMIN D 400IU TAB,,,,,00000000,Unknown,Februar 2009
4753,329365001,297007,60073020,Colecalciferol 200unit / Calcium carbonate 1.25g chewable tablets,Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,Februar 2009
5754,98795001000027106,22854,60821020,Ergocalciferol with calcium tablets,Calcium Phosphate/Ergocalciferol/Calcium Lactate,,Tablets,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
6264,329367009,1151387,60074020,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets,Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
6577,329371007,1351717,83235020,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets,Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,Februar 2009
6843,4253011000001104,30904,60245020,Colecalciferol 800unit / Calcium phosphate 3.1g oral powder sachets,Calcium phosphate/Colecalciferol,3.1gram + 800unit,Powder,Oral,06060000/09060400,Products Affecting Bone Metabolism/Vitamin D,Februar 2009
7320,4248711000001106,214903,80198020,Calfovit D3 oral powder sachets (A. Menarini Farmaceutica Internazionale SRL),Calcium phosphate/Colecalciferol,3.1gram + 800unit,Powder,Oral,06060000/09060400,Products Affecting Bone Metabolism/Vitamin D,Februar 2009
7749,171065001000027105,3258,05910007,CALCIUM + VITAMIN D 300 MG TAB,,,,,00000000,Unknown,Februar 2009
8115,155205001000027100,550,05243007,CALCIUM & VITAMIN D 6000 I/U TAB,,,,,00000000,Unknown,Februar 2009
9885,329369007,49669,60075020,Colecalciferol 440unit / Calcium carbonate 1.25g effervescent granules sachets,Calcium carbonate/Colecalciferol,1.25gram + 440unit,Effervescent granules,Oral,09060400,Vitamin D,Februar 2009
11473,235555001000027106,9,86845020,Dolomite with Vitamin D tablets,Calcium Carbonate/Vitamin D/Magnesium Carbonate,,Tablets,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
12372,92585001000027101,217,02968007,CALCIFEROL/CALCIUM GLUCONATE TAB,,,,,00000000,Unknown,Februar 2009
12791,15982411000001100,1044855,84217020,Calceos 500mg/400unit chewable tablets (Galen Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
12883,203655001000027107,8,77244020,Osteopro Tablet (Health Perception (UK) Ltd),Calcium Carbonate/Vitamins/Mineral Salts,,Tablet,Oral,09060750,-,Februar 2009
15209,4917911000001100,133,81338020,Crampex tablets (Thornton & Ross Ltd),Colecalciferol/Calcium gluconate/Nicotinic acid,20microgram + 200mg + 20mg,Tablet,Oral,10020202,Other Muscle Relaxants,Februar 2009
19410,221095001000027100,208,82787020,Caltrate plus Tablet (Wyeth Consumer Healthcare),Calcium Carbonate/Vitamin D,,Tablet,Oral,09060400,Vitamin D,Februar 2009
19946,7959311000001105,104,82788020,Caltrate Plus chewable tablets (Wyeth Consumer Healthcare),,,Chewable tablet,Oral,09060700,Multivitamin And Multimineral Preparations,Februar 2009
23296,242775001000027107,15675,90859020,Calcium carbonate 1.25g with Colecalciferol 10micrograms sugar free chewable tablets,Calcium Carbonate/Colecalciferol,1.25g + 10micrograms,Chewable Tablets Sugar-Free,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
24567,12203211000001105,42,78893020,Dolomite + D tablets (Health+Plus Ltd),,,Tablet,Oral,09060700,Multivitamin And Multimineral Preparations,Februar 2009
26677,NA,11,!1017401,CALCIUM + VITAMIN D,,,,,00000000,Unknown,Februar 2009
28922,45595001000027106,2483,53747020,Calcium with vitamin d Tablet (Approved Prescription Services Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
32103,32575001000027100,42,52045020,Calcium with ergocalciferol Tablet (Thornton & Ross Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
32527,234095001000027105,5,86358020,Caltrate with vitamin d 600mg+5microgram Tablet (Wyeth Consumer Healthcare),Calcium Carbonate/Vitamin D,600mg+5microgram,Tablet,Oral,09060400,Vitamin D,Februar 2009
34624,580311000001100,33,56859020,Calcium and Ergocalciferol tablets (Actavis UK Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09060400,Vitamin D,Februar 2009
34656,209485001000027100,2422,79149020,Calcium carbonate 600mg with vitamin d and 5 micrograms tablets,Calcium Carbonate/Vitamin D,600mg + 5micrograms,Tablets,Oral,09060400,Vitamin D,Februar 2009
36251,95985001000027107,0,60364020,Chocovite Tablet (Torbet Laboratories Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
36921,9794311000001100,63,71126020,Calcium and Ergocalciferol tablets (Almus Pharmaceuticals Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09060400,Vitamin D,Februar 2009
36979,13398611000001101,299285,94212020,Adcal-D3 Dissolve 1500mg/400unit effervescent tablets (Kyowa Kirin Ltd),Colecalciferol/Calcium carbonate,400unit + 1.5gram,Effervescent tablet,Oral,09060400,Vitamin D,Februar 2009
36981,13401111000001106,53958,94210020,Colecalciferol 400unit / Calcium carbonate 1.5g effervescent tablets,Colecalciferol/Calcium carbonate,400unit + 1.5gram,Effervescent tablet,Oral,09060400,Vitamin D,Februar 2009
37412,12776511000001102,203905,94200020,Natecal D3 600mg/400unit chewable tablets (Chiesi Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,Februar 2009
37575,249915001000027103,1673,94358020,Risedronate sodium 35mg with calcium carbonate 2500mg & colecalciferol 22micrograms tablets and granules,Calcium Carbonate/Colecalciferol/Risedronate Sodium,35mg + (2500mg + 22micrograms),Tablets + Granules,Oral,06060200/09050101,Bisphosphonates And Other Drugs Affecting Bone Metabolism/Calcium Supplements,Februar 2009
37794,234605001000027104,3,86539020,Calcium carbonate 600mg with vitamin d and minerals 5 micrograms tablets,Calcium Carbonate/Vitamin D,600mg + 5micrograms,Tablets,Oral,09060400,Vitamin D,Februar 2009
38928,45611000001108,2217599,95933020,Calcichew D3 Forte chewable tablets (Takeda UK Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2009
40268,257225001000027108,16,96826020,Calcium lactate gluconate with calcium carbonate and colecalciferol 600mg calcium with 400iu effervescent tablets,Calcium Carbonate/Calcium Lactate Gluconate/Colecalciferol,600mg calcium + 400IU vitamin D3,Effervescent Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,August 2009
40276,15219311000001100,695,96828020,Sandocal+D 600 effervescent tablets (Novartis Consumer Health UK Ltd),Colecalciferol/Calcium carbonate/Calcium lactate gluconate,400unit + 1.05gram + 1.358gram,Effervescent tablet,Oral,09060400,Vitamin D,September 2009
40931,15641611000001104,1121,97241020,Sandocal+D 1200 effervescent tablets (Novartis Consumer Health UK Ltd),Calcium carbonate/Calcium lactate gluconate/Colecalciferol,2.1gram + 2.716gram + 800unit,Effervescent tablet,Oral,09060400,Vitamin D,Dezember 2009
41072,258035001000027105,2,97239020,Calcium lactate gluconate with calcium carbonate and colecalciferol 1200mg calcium with 800iu effervescent tablets,Calcium Carbonate/Calcium Lactate Gluconate/Colecalciferol,1200mg calcium + 800 I.U. vitamin D3,Effervescent Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Januar 2010
41427,11930411000001105,1683046,97770020,Adcal-D3 Lemon chewable tablets (Kyowa Kirin Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,MÃ¤rz 2010
42190,216255001000027102,2,81334020,Nicotinic acid with colecalciferol and calcium gluconate Tablet,Calcium Gluconate/Colecalciferol/Nicotinic Acid,,Tablet,Oral,02060400,Peripheral Vasodilators And Related Products,April 2010
42209,303711000001108,300,55006020,Calcium and Ergocalciferol tablets (A A H Pharmaceuticals Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09060400,Vitamin D,Mai 2010
43053,85925001000027100,1,58843020,Calcium Tablet (Actavis UK Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Juli 2010
43922,17545811000001109,89374,98304020,Calcichew D3 500mg/400unit caplets (Takeda UK Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Tablet,Oral,09060400,Vitamin D,November 2010
44016,17555111000001104,20201,98302020,Colecalciferol 400unit / Calcium carbonate 1.25g tablets,Calcium carbonate/Colecalciferol,1.25gram + 400unit,Tablet,Oral,09060400,Vitamin D,Dezember 2010
45311,234615001000027102,2,86540020,Calcium carbonate 600mg with Vitamin D % micrograms with Minerals chewable tablets,Calcium Carbonate/Vitamin D,600mg + 5micrograms,Chewable Tablet,Oral,09060400,Vitamin D,Mai 2011
45617,18764211000001106,7349,99388020,Colecalciferol 800unit / Calcium carbonate 1.25g chewable tablets,Colecalciferol/Calcium carbonate,800unit + 1.25gram,Chewable tablet,Oral,09060400,Vitamin D,Juli 2011
45701,18740111000001100,22151,99390020,Kalcipos-D 500mg/800unit chewable tablets (Mylan),Colecalciferol/Calcium carbonate,800unit + 1.25gram,Chewable tablet,Oral,09060400,Vitamin D,Juli 2011
46419,19368411000001103,1384317,00146021,Adcal-D3 750mg/200unit caplets (Kyowa Kirin Ltd),Calcium carbonate/Colecalciferol,750mg + 200unit,Tablet,Oral,09060400,Vitamin D,November 2011
46450,19372511000001108,56668,00144021,Colecalciferol 200unit / Calcium carbonate 750mg tablets,Calcium carbonate/Colecalciferol,750mg + 200unit,Tablet,Oral,09060400,Vitamin D,November 2011
46748,19525711000001105,20290,98044020,Colecalciferol 400unit / Calcium carbonate 1.5g tablets,Calcium carbonate/Colecalciferol,1.5gram + 400unit,Tablet,Oral,09060400,Vitamin D,Februar 2012
46867,19510411000001102,706265,00299021,Accrete D3 tablets (Internis Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Tablet,Oral,09060400,Vitamin D,Februar 2012
47665,305275001000027100,1,00969021,Calcium carbonate 400mg with Colecalciferol 100 units chewable tablets,Calcium Carbonate/Colecalciferol,400mg + 100 units,Chewable Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,August 2012
47818,62015001000027102,8,55764020,Calcium with ergocalciferol Tablet (IVAX Pharmaceuticals UK Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,September 2012
49466,7525811000001108,117,17570020,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets sugar free,Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,00000000,Unknown,Januar 2013
49503,17617811000001102,422,08009020,Calcichew D3 Forte chewable tablets (Necessity Supplies Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Januar 2013
50231,14696111000001100,1319,35775020,Calcium carbonate 400mg / Ergocalciferol 2.5microgram tablets,Ergocalciferol/Calcium carbonate,2.5microgram + 400mg,Tablet,Oral,09060400,Vitamin D,Januar 2013
51131,19622611000001103,64,38405020,Solgar Calcium with Vitamin D3 tablets (Solgar Vitamin and Herb),Colecalciferol/Calcium citrate,150unit + 250mg,Tablet,Oral,09040251,Nutritional Supplements,Januar 2013
51605,16398111000001102,0,07999020,Calcichew D3 chewable tablets (Mawdsley-Brooks & Company Ltd),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,Januar 2013
51645,13801511000001106,144,35168020,Colecalciferol 100unit / Calcium carbonate 400mg tablets,Colecalciferol/Calcium carbonate,100unit + 400mg,Tablet,Oral,09060400,Vitamin D,Januar 2013
51894,18157711000001109,7,08010020,Calcichew D3 Forte chewable tablets (Mawdsley-Brooks & Company Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Januar 2013
52096,19946611000001100,147,39455020,Colecalciferol 100unit / Calcium carbonate 400mg chewable tablets,Colecalciferol/Calcium carbonate,100unit + 400mg,Chewable tablet,Oral,09060400,Vitamin D,Januar 2013
52997,14686411000001106,816,35776020,Vega Calcium plus Vitamin D tablets (Vega Nutritionals Ltd),Ergocalciferol/Calcium carbonate,2.5microgram + 400mg,Tablet,Oral,09060400,Vitamin D,Januar 2013
53347,16143711000001108,4,07998020,Calcichew D3 chewable tablets (Lexon (UK) Ltd),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,Januar 2013
53349,18548311000001102,1537,08001020,Calcichew D3 chewable tablets (DE Pharmaceuticals),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,Januar 2013
55254,22053611000001108,1829,47983020,Colecalciferol 800unit / Calcium carbonate 1.25g tablets,Colecalciferol/Calcium carbonate,800unit + 1.25gram,Tablet,Oral,09060400,Vitamin D,Mai 2013
55528,22013511000001100,1303,47984020,Kalcipos-D 500mg/800unit tablets (Meda Pharmaceuticals Ltd),Colecalciferol/Calcium carbonate,800unit + 1.25gram,Tablet,Oral,09060400,Vitamin D,Juni 2013
55615,19626211000001104,48,38404020,Colecalciferol 150unit / Calcium 250mg tablets,Colecalciferol/Calcium citrate,150unit + 250mg,Tablet,Oral,09040251,Nutritional Supplements,Juni 2013
56183,17815911000001107,53,07995020,Calcium and Ergocalciferol tablets (Phoenix Healthcare Distribution Ltd),Calcium lactate/Calcium phosphate/Ergocalciferol,300mg + 150mg + 10microgram,Tablet,Oral,09060400,Vitamin D,August 2013
57461,10496711000001100,2090,07997020,Calcichew D3 chewable tablets (Waymade Healthcare Plc),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,Oktober 2013
57508,16143911000001105,1836,08008020,Calcichew D3 Forte chewable tablets (Lexon (UK) Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Oktober 2013
57535,10846011000001102,9214,08005020,Calcichew D3 Forte chewable tablets (Waymade Healthcare Plc),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Oktober 2013
59454,22852811000001100,113052,17453021,Evacal D3 1500mg/400unit chewable tablets (Teva UK Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,April 2014
62385,19916411000001109,1,39456020,Seven Seas Calcium and Vitamin D chewable tablets (Seven Seas Ltd),Colecalciferol/Calcium carbonate,100unit + 400mg,Chewable tablet,Oral,09060400,Vitamin D,Februar 2015
62495,28012711000001105,1121,43051021,Colecalciferol 800unit / Calcium carbonate 2.5g chewable tablets,Colecalciferol/Calcium carbonate,800iu + 2.5gram,Chewable tablet,Oral,09060400,Vitamin D,MÃ¤rz 2015
