prodcode,productname
217,CAPTOPRIL 4 MG/ML LIQ
1121,Captopril 12.5mg tablets
1143,Captopril 25mg tablets
1144,Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
1807,Captopril 50mg tablets
3069,Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
3310,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
3839,Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
8923,CAPTOPRIL 100 MG TAB
15958,Captopril 2mg tablets
17624,Captopril 5mg/5ml oral suspension
17633,Captopril 3mg/5ml oral solution
18269,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
18325,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
20849,Tensopril 12.5mg tablets (Teva UK Ltd)
21943,Kaplon 12.5mg tablets (Teva UK Ltd)
23478,Tensopril 50mg tablets (Teva UK Ltd)
24482,Captomex 50mg tablets (Actavis UK Ltd)
25998,Captomex 12.5mg tablets (Actavis UK Ltd)
26995,Kaplon 25mg tablets (Teva UK Ltd)
28486,Captopril 6.25mg/5ml oral suspension
28820,Captomex 25mg tablets (Actavis UK Ltd)
30039,Tensopril 25mg tablets (Teva UK Ltd)
32048,Kaplon 50mg tablets (Teva UK Ltd)
32514,Ecopace 25mg tablets (Advanz Pharma)
33336,Captopril 5mg/5ml Oral suspension (Eldon Laboratories)
33646,Captopril 12.5mg Tablet (Generics (UK) Ltd)
34544,Captopril 12.5mg Tablet (IVAX Pharmaceuticals UK Ltd)
34562,Captopril 25mg Tablet (IVAX Pharmaceuticals UK Ltd)
34719,Captopril 50mg Tablet (Generics (UK) Ltd)
34936,Captopril 25mg Tablet (Lagap)
34937,Captopril 50mg Tablet (IVAX Pharmaceuticals UK Ltd)
35302,Captopril 12.5mg/5ml oral suspension
36742,Captopril 2mg/5ml oral suspension
37655,Captopril 25mg tablets (Teva UK Ltd)
39512,Captopril 25mg/5ml oral suspension
41617,Captopril 25mg tablets (Actavis UK Ltd)
41633,Captopril 12.5mg tablets (Actavis UK Ltd)
41743,Captopril 50mg tablets (Teva UK Ltd)
43432,Captopril 6.25mg tablets
43507,Captopril 25mg Tablet (Generics (UK) Ltd)
43649,Captopril 25mg tablets (A A H Pharmaceuticals Ltd)
